condition,dimension,mean,std,count
ABLMC,Factual Accuracy,3.875,1.1259916264596033,8
ABLMC,Language,3.75,1.0350983390135313,8
ABLMC,Objectivity,3.5,0.7559289460184545,8
ABLMC,Precision,3.125,1.1259916264596033,8
ABLMC,Structure,4.0,1.0690449676496976,8
ABLMC,Understandability,3.125,0.8345229603962804,8
ABLMC,Usefulness,3.125,0.6408699444616557,8
FS,Factual Accuracy,4.0,0.7559289460184544,8
FS,Language,3.375,1.302470180629319,8
FS,Objectivity,3.25,0.8864052604279183,8
FS,Precision,3.25,0.7071067811865476,8
FS,Structure,3.75,1.0350983390135313,8
FS,Understandability,3.375,1.0606601717798212,8
FS,Usefulness,2.625,0.9161253813129042,8
