family,dataset,instruction,a_i
noised_fluency_single,wiki,mono,1.0
noised_fluency_single,wiki,super,0.575
noised_fluency_single,wiki,change,1.0
noised_fluency_single,wiki,rec,0.75
noised_fluency_single,sum,mono,1.0
noised_fluency_single,sum,super,0.9778
noised_fluency_single,sum,change,1.0
noised_fluency_single,sum,rec,1.0
noised_fluency_single,wmt,mono,1.0
noised_fluency_single,wmt,super,0.975
noised_fluency_single,wmt,change,0.975
noised_fluency_single,wmt,rec,1.0
noised_fluency_single,tedmt,mono,1.0
noised_fluency_single,tedmt,super,0.95
noised_fluency_single,tedmt,change,1.0
noised_fluency_single,tedmt,rec,1.0
noised_fluency_compare,wiki,rec_grid,0.55
noised_fluency_compare,sum,rec_grid,1.0
noised_fluency_compare,wmt,rec_grid,0.975
noised_fluency_compare,tedmt,rec_grid,1.0
positioned_error_single,wiki,1.1,1.0
positioned_error_single,wiki,1.2,1.0
positioned_error_single,wiki,1.3,1.0
positioned_error_single,wiki,2.1,1.0
positioned_error_single,wiki,2.2,1.0
positioned_error_single,wiki,2.3,1.0
positioned_error_single,wiki,2.4,1.0
positioned_error_compare,wiki,1,1.0
positioned_error_compare,wiki,2,1.0
