high,sim,nf_low_max,nf_mod_max,is_default,labels_total,labels_flipped,flip_pct,a_RB_retrieval_pos,a_RB_conclusion_pos_single,a_RB_conclusion_nf_single,a_RB_conclusion_nf_compare
60.0,10.0,25.0,60.0,False,683,2,0.29,100.0,95.6,95.0,88.1
65.0,10.0,25.0,60.0,False,683,0,0.0,100.0,100.0,95.0,88.1
70.0,10.0,25.0,60.0,True,683,0,0.0,100.0,100.0,95.0,88.1
75.0,10.0,25.0,60.0,False,683,1,0.15,100.0,94.4,95.0,88.1
80.0,10.0,25.0,60.0,False,683,1,0.15,100.0,94.4,95.0,88.1
70.0,5.0,25.0,60.0,False,683,0,0.0,100.0,100.0,95.0,88.1
70.0,10.0,25.0,60.0,True,683,0,0.0,100.0,100.0,95.0,88.1
70.0,15.0,25.0,60.0,False,683,0,0.0,100.0,100.0,95.0,88.1
70.0,10.0,15.0,50.0,False,683,40,5.86,100.0,100.0,90.2,85.6
70.0,10.0,20.0,55.0,False,683,16,2.34,100.0,100.0,93.1,86.9
70.0,10.0,25.0,60.0,True,683,0,0.0,100.0,100.0,95.0,88.1
70.0,10.0,30.0,65.0,False,683,18,2.64,100.0,100.0,93.1,87.5
70.0,10.0,35.0,70.0,False,683,27,3.95,100.0,100.0,92.2,86.9
